epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,858.903,1.40046,4.21602,4.49815,1.72608,0.00297,0.25029,0.01401,0.00899,0.00209,0.1728,0.01045,0.0056,1.52093,4.10186,3.93398,2.15377,0.0670033,0.0003333,0.0003333
2,1668.24,1.34698,4.03859,3.81626,1.66278,0.71458,0.0449,0.0496,0.036,0.71341,0.03913,0.04393,0.02554,1.37458,3.8563,3.43402,2.01712,0.0339967,0.000660034,0.000660034
3,2472.57,1.30342,3.95046,3.5564,1.62124,0.69568,0.06508,0.08174,0.06063,0.69358,0.05895,0.07276,0.04304,1.34626,3.71577,3.19328,1.9646,0.000983515,0.000980167,0.000980167
4,3288.85,1.27362,3.89086,3.39168,1.59405,0.70507,0.08045,0.09592,0.06916,0.70529,0.07364,0.08552,0.04708,1.31555,3.65542,3.04777,1.91618,0.0009703,0.0009703,0.0009703
5,4087.3,1.24943,3.83917,3.27467,1.5729,0.6941,0.10478,0.11221,0.0803,0.7039,0.0875,0.10113,0.05697,1.28028,3.59828,2.94473,1.88929,0.0009604,0.0009604,0.0009604
6,4878.01,1.23596,3.82187,3.19374,1.56005,0.60246,0.11839,0.12377,0.09051,0.61172,0.10197,0.10792,0.06064,1.26077,3.56677,2.85634,1.84852,0.0009505,0.0009505,0.0009505
7,5669.69,1.22489,3.79519,3.11558,1.54932,0.66463,0.11866,0.13427,0.09987,0.65849,0.10328,0.11594,0.06871,1.24623,3.53994,2.8051,1.8398,0.0009406,0.0009406,0.0009406
8,6462.14,1.21453,3.77873,3.06238,1.53893,0.55514,0.13507,0.13954,0.10222,0.54889,0.11997,0.12124,0.06852,1.23584,3.5394,3.98995,1.81396,0.0009307,0.0009307,0.0009307
9,7255.16,1.20865,3.75847,3.00582,1.53234,0.64957,0.13377,0.1553,0.11622,0.64072,0.11983,0.13442,0.07781,1.21192,3.52805,2.69945,1.79881,0.0009208,0.0009208,0.0009208
10,8047.83,1.19979,3.7498,2.96749,1.52652,0.63063,0.14243,0.16751,0.12419,0.62639,0.12467,0.14365,0.08294,1.2187,3.50264,2.68651,1.7967,0.0009109,0.0009109,0.0009109
11,8840.81,1.19047,3.7374,2.9256,1.52051,0.59095,0.15011,0.17289,0.12865,0.57079,0.13565,0.1475,0.08563,1.20022,3.48789,4.58624,1.78342,0.000901,0.000901,0.000901
12,9633.25,1.18524,3.72056,2.88926,1.51347,0.5735,0.15712,0.17921,0.13398,0.56152,0.13812,0.15401,0.0876,1.20949,3.47702,3.26305,1.78865,0.0008911,0.0008911,0.0008911
13,10425.2,1.17838,3.71088,2.87115,1.50927,0.56011,0.17317,0.18645,0.1408,0.54942,0.15019,0.15418,0.08944,1.19222,3.46761,2.88341,1.7706,0.0008812,0.0008812,0.0008812
14,11217.2,1.1729,3.69772,2.83332,1.50288,0.57486,0.17865,0.1981,0.14932,0.5845,0.15431,0.17074,0.096,1.18233,3.45926,2.54774,1.75767,0.0008713,0.0008713,0.0008713
15,12007.6,1.16797,3.69411,2.80898,1.49987,0.5157,0.17998,0.1914,0.14324,0.50456,0.16044,0.16407,0.09178,1.18112,3.44825,3.78944,1.75284,0.0008614,0.0008614,0.0008614
16,12797.7,1.17116,3.68869,2.79484,1.50155,0.58852,0.1759,0.20167,0.1524,0.57676,0.15596,0.17503,0.09823,1.17019,3.4379,2.50459,1.73976,0.0008515,0.0008515,0.0008515
17,13586.3,1.15787,3.66869,2.7553,1.4887,0.57688,0.17962,0.202,0.1517,0.56636,0.16062,0.17502,0.098,1.16907,3.43021,2.49067,1.74087,0.0008416,0.0008416,0.0008416
18,14375.8,1.1586,3.6648,2.74071,1.49196,0.57578,0.17764,0.21159,0.15872,0.56303,0.15886,0.18214,0.10262,1.16522,3.42342,2.4706,1.73547,0.0008317,0.0008317,0.0008317
19,15166.2,1.15373,3.65448,2.71916,1.48584,0.56654,0.17813,0.21242,0.15827,0.57374,0.15762,0.18337,0.10388,1.15667,3.42062,2.46234,1.72752,0.0008218,0.0008218,0.0008218
20,15956.4,1.14909,3.64759,2.7065,1.484,0.57467,0.18568,0.21151,0.15773,0.56699,0.16596,0.18434,0.10477,1.15539,3.4134,2.45185,1.72545,0.0008119,0.0008119,0.0008119
21,16746.2,1.15246,3.65611,2.68783,1.48551,0.56529,0.19155,0.21334,0.16097,0.56041,0.16605,0.18461,0.10641,1.15288,3.41282,2.44552,1.72268,0.000802,0.000802,0.000802
22,17536.2,1.14511,3.64355,2.67499,1.47877,0.5521,0.19635,0.21412,0.16131,0.55559,0.16863,0.18826,0.10679,1.15223,3.41093,2.43504,1.72193,0.0007921,0.0007921,0.0007921
23,18327.1,1.14855,3.63662,2.66381,1.48294,0.55353,0.1936,0.21875,0.16465,0.54677,0.17077,0.19232,0.10893,1.15166,3.40905,2.4285,1.72211,0.0007822,0.0007822,0.0007822
24,19116.9,1.14068,3.63156,2.64511,1.47839,0.53233,0.19905,0.22221,0.16614,0.54585,0.17097,0.19276,0.10973,1.14979,3.40689,2.42295,1.72096,0.0007723,0.0007723,0.0007723
25,19906.8,1.1345,3.62614,2.62217,1.47315,0.53859,0.19961,0.2231,0.16865,0.53326,0.17644,0.19591,0.11111,1.14967,3.40572,2.41646,1.72083,0.0007624,0.0007624,0.0007624
26,20696.8,1.135,3.62657,2.61727,1.47256,0.53767,0.20086,0.22487,0.17059,0.53454,0.17765,0.19782,0.11246,1.14747,3.4064,2.40972,1.71778,0.0007525,0.0007525,0.0007525
27,21486.8,1.13417,3.62177,2.60349,1.47066,0.53863,0.20144,0.22381,0.17087,0.53819,0.17791,0.19791,0.11234,1.14591,3.40619,2.40481,1.71569,0.0007426,0.0007426,0.0007426
28,22276.3,1.13343,3.6137,2.58743,1.47025,0.54386,0.20677,0.22448,0.17034,0.53821,0.17986,0.19833,0.11244,1.14459,3.40468,2.40151,1.71402,0.0007327,0.0007327,0.0007327
29,23066.5,1.12717,3.6179,2.57619,1.46539,0.53934,0.21094,0.22545,0.17071,0.56849,0.1763,0.19877,0.11251,1.14375,3.40445,2.39617,1.71199,0.0007228,0.0007228,0.0007228
30,23857,1.12957,3.60882,2.56717,1.46817,0.56578,0.20133,0.22608,0.17131,0.57673,0.17486,0.1987,0.1123,1.14157,3.40342,2.38734,1.70932,0.0007129,0.0007129,0.0007129
31,24646.8,1.12574,3.60048,2.54587,1.46419,0.57955,0.20076,0.22625,0.17121,0.57834,0.17422,0.19949,0.11281,1.14012,3.40217,2.38131,1.70779,0.000703,0.000703,0.000703
32,25436.4,1.1226,3.59362,2.53631,1.46017,0.5652,0.20086,0.22703,0.17153,0.56804,0.17542,0.1993,0.11298,1.13839,3.401,2.37442,1.70435,0.0006931,0.0006931,0.0006931
33,26226.4,1.11905,3.58941,2.52718,1.46039,0.56885,0.19887,0.22717,0.17237,0.56113,0.17622,0.19947,0.1129,1.13838,3.39978,2.36968,1.70429,0.0006832,0.0006832,0.0006832
34,27016.3,1.12026,3.59351,2.5154,1.4598,0.56633,0.20328,0.22887,0.17446,0.56393,0.1758,0.20062,0.11365,1.13526,3.39978,2.3674,1.70073,0.0006733,0.0006733,0.0006733
35,27805.6,1.11686,3.58684,2.5118,1.45835,0.56612,0.20582,0.22993,0.17491,0.56427,0.17772,0.20153,0.11413,1.13377,3.39975,2.36336,1.69939,0.0006634,0.0006634,0.0006634
36,28595.9,1.11776,3.58599,2.5097,1.45919,0.54933,0.21347,0.23139,0.17591,0.55917,0.17999,0.2024,0.11478,1.13329,3.39851,2.35877,1.6993,0.0006535,0.0006535,0.0006535
37,29385.9,1.11394,3.58143,2.49022,1.45424,0.55414,0.21453,0.23483,0.17811,0.55018,0.18458,0.2051,0.11642,1.13225,3.39727,2.35472,1.69734,0.0006436,0.0006436,0.0006436
38,30175.2,1.11185,3.58491,2.49152,1.45294,0.55186,0.2192,0.23599,0.17888,0.55438,0.18515,0.20613,0.11681,1.13191,3.39561,2.35105,1.69715,0.0006337,0.0006337,0.0006337
39,30965.8,1.11111,3.57185,2.47702,1.45437,0.55441,0.21903,0.23678,0.17888,0.54966,0.18895,0.20686,0.1168,1.13194,3.39425,2.34972,1.6965,0.0006238,0.0006238,0.0006238
40,31758.5,1.11056,3.57562,2.47072,1.45313,0.54507,0.2177,0.23734,0.1795,0.53903,0.18996,0.208,0.11733,1.13142,3.39378,2.34561,1.6958,0.0006139,0.0006139,0.0006139
